ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
RBLX,2024-05-08,2024-05-07,2024-05-09,40.54,29.92,1.945874,0.273142,1.672732,-26.1964,7.445385,7.438642,1103.2288,True,317.6642,10.961241,1.796624
IDXX,2024-05-08,2024-05-07,2024-05-09,483.68,488.28,0.382824,0.191513,0.191311,0.951,39.979797,39.899352,495.9791,False,0.486,10.407177,21.435395
NET,2024-08-08,2024-08-07,2024-08-09,76.37,77.51,0.482431,0.295764,0.186666,1.4927,7.642925,7.630223,600.7173,False,0.6776,1.672342,3.384513
PAYC,2024-08-08,2024-08-07,2024-08-09,150.2386,155.9633,0.364256,0.259041,0.105215,3.8104,7.482714,7.457726,298.4563,True,6.3734,5.222726,6.658168
BIIB,2024-08-08,2024-08-07,2024-08-09,199.78,203.12,0.20045,0.14973,0.050721,1.6718,6.717827,6.684599,201.1774,False,0.9403,4.480516,8.853712
ABNB,2024-08-08,2024-08-07,2024-08-09,113.01,114.465,0.28177,0.210001,0.071769,1.2875,6.34158,6.322784,336.3932,False,0.486,2.431597,5.008299
ILMN,2024-08-08,2024-08-07,2024-08-09,121.1,126.59,0.580142,0.302988,0.277154,4.5334,11.147858,11.127717,552.4813,True,9.1692,5.048536,5.366826
IDXX,2024-08-08,2024-08-07,2024-08-09,467.07,482.41,0.308077,0.211937,0.09614,3.2843,19.70144,19.623757,252.6131,False,4.6437,14.294896,20.699286
TSLA,2024-08-08,2024-08-07,2024-08-09,191.76,197.05,0.638294,0.556239,0.082055,2.7587,23.608276,23.576383,739.222,False,3.1717,5.218222,8.498287
REGN,2024-08-08,2024-08-07,2024-08-09,1059.053,1103.8826,0.259475,0.178797,0.080678,4.233,22.819275,22.643134,128.5507,True,7.9486,40.930749,46.934377
DXCM,2024-11-06,2024-11-05,2024-11-07,69.0,68.79,0.460714,0.340671,0.120043,-0.3043,7.381882,7.370406,642.241,False,0.486,1.484649,3.057894
NET,2024-11-06,2024-11-05,2024-11-07,87.71,94.89,0.59481,0.460102,0.134708,8.1861,5.16498,5.150392,353.0587,True,30.6993,7.636422,3.887071
ABNB,2024-11-06,2024-11-05,2024-11-07,137.82,141.76,0.828555,0.290186,0.538369,2.8588,22.821574,22.798652,994.6095,False,3.4323,3.831559,6.107812
INTC,2024-11-06,2024-11-05,2024-11-07,23.32,25.43,0.634847,0.392375,0.242473,9.048,1.385939,1.382061,356.3315,True,37.5835,2.276361,1.03348
COIN,2024-11-06,2024-11-05,2024-11-07,193.96,245.63,1.713053,0.826339,0.886714,26.6395,24.739034,24.706775,765.878,True,328.515,53.271131,8.595785
TSLA,2024-11-06,2024-11-05,2024-11-07,251.44,288.89,0.964983,0.509596,0.455387,14.8942,19.19172,19.1499,457.9181,True,102.4483,40.00104,11.143144
VRTX,2024-11-06,2024-11-05,2024-11-07,499.88,493.7,0.405895,0.271934,0.133961,-1.2363,42.53772,42.45458,510.6396,False,0.486,10.755747,22.153336
TXN,2024-11-06,2024-11-05,2024-11-07,193.8369,206.6087,0.324303,0.236489,0.087813,6.5889,2.492009,2.45977,76.2981,True,19.7638,12.906262,8.59033
ODFL,2024-11-06,2024-11-05,2024-11-07,204.7405,227.6565,0.386366,0.269872,0.116494,11.1927,-3.879142,-3.913195,-114.9168,True,57.7002,24.92693,9.073548
MELI,2024-11-06,2024-11-05,2024-11-07,2090.01,1920.0,1.49072,0.384508,1.106212,-8.1344,549.352353,549.004743,1579.3684,True,30.3086,180.614045,92.623618
PCAR,2024-11-06,2024-11-05,2024-11-07,101.5309,108.9811,0.292285,0.225203,0.067082,7.3379,-0.200698,-0.217584,-12.885,True,24.5972,7.744902,4.499576
