S0,strike,T,type,option_price,iv_market,moneyness,expiry,r
735.5999755859375,650.0,0.5561643835616439,put,20.44,0.28656262501884,0.8836324382450483,2026-12-18,0.05
735.5999755859375,655.0,0.5561643835616439,put,21.19,0.2827767868421196,0.8904296108469334,2026-12-18,0.05
735.5999755859375,660.0,0.5561643835616439,put,22.47,0.28204012315808397,0.8972267834488183,2026-12-18,0.05
735.5999755859375,665.0,0.5561643835616439,put,23.51,0.27956350449844664,0.9040239560507033,2026-12-18,0.05
735.5999755859375,670.0,0.5561643835616439,put,24.6,0.27713927114112485,0.9108211286525884,2026-12-18,0.05
735.5999755859375,675.0,0.5561643835616439,put,25.65,0.2742456506594729,0.9176183012544733,2026-12-18,0.05
735.5999755859375,680.0,0.5561643835616439,put,27.02,0.2729043868994102,0.9244154738563582,2026-12-18,0.05
735.5999755859375,685.0,0.5561643835616439,put,28.26,0.2705642607304094,0.9312126464582433,2026-12-18,0.05
735.5999755859375,690.0,0.5561643835616439,put,29.52,0.26807728389409186,0.9380098190601283,2026-12-18,0.05
735.5999755859375,695.0,0.5561643835616439,put,31.15,0.2672794415304369,0.9448069916620132,2026-12-18,0.05
735.5999755859375,700.0,0.5561643835616439,put,32.62,0.2653445889127915,0.9516041642638983,2026-12-18,0.05
735.5999755859375,705.0,0.5561643835616439,put,34.12,0.26328702321430336,0.9584013368657832,2026-12-18,0.05
735.5999755859375,710.0,0.5561643835616439,put,35.62,0.2609559864077843,0.9651985094676682,2026-12-18,0.05
735.5999755859375,715.0,0.5561643835616439,put,37.35,0.25948915583033616,0.9719956820695532,2026-12-18,0.05
735.5999755859375,720.0,0.5561643835616439,put,39.59,0.260206625131409,0.9787928546714382,2026-12-18,0.05
735.5999755859375,725.0,0.5561643835616439,put,41.12,0.2571669417436653,0.9855900272733231,2026-12-18,0.05
735.5999755859375,730.0,0.5561643835616439,put,43.22,0.25657490893314555,0.9923871998752082,2026-12-18,0.05
735.5999755859375,735.0,0.5561643835616439,put,45.25,0.25533933736294245,0.9991843724770931,2026-12-18,0.05
735.5999755859375,740.0,0.5561643835616439,call,57.33,0.2264916296656484,1.0059815450789782,2026-12-18,0.05
735.5999755859375,745.0,0.5561643835616439,call,54.57,0.22519164809835487,1.0127787176808631,2026-12-18,0.05
735.5999755859375,750.0,0.5561643835616439,call,51.82,0.2235983263960168,1.019575890282748,2026-12-18,0.05
735.5999755859375,755.0,0.5561643835616439,call,48.87,0.2207484709897991,1.026373062884633,2026-12-18,0.05
735.5999755859375,760.0,0.5561643835616439,call,46.37,0.21962293138408734,1.033170235486518,2026-12-18,0.05
735.5999755859375,765.0,0.5561643835616439,call,44.21,0.21970197705752376,1.0399674080884032,2026-12-18,0.05
735.5999755859375,770.0,0.5561643835616439,call,41.84,0.21847135065844192,1.046764580690288,2026-12-18,0.05
735.5999755859375,775.0,0.5561643835616439,call,39.53,0.2171650313691095,1.053561753292173,2026-12-18,0.05
735.5999755859375,780.0,0.5561643835616439,call,37.61,0.21729831401343197,1.060358925894058,2026-12-18,0.05
735.5999755859375,785.0,0.5561643835616439,call,35.36,0.21556615142381855,1.067156098495943,2026-12-18,0.05
735.5999755859375,790.0,0.5561643835616439,call,33.29,0.2143095773362884,1.073953271097828,2026-12-18,0.05
735.5999755859375,795.0,0.5561643835616439,call,31.3,0.2130698402758908,1.080750443699713,2026-12-18,0.05
735.5999755859375,800.0,0.5561643835616439,call,29.51,0.21241814261276817,1.087547616301598,2026-12-18,0.05
735.5999755859375,805.0,0.5561643835616439,call,27.76,0.21160938153694658,1.094344788903483,2026-12-18,0.05
735.5999755859375,810.0,0.5561643835616439,call,25.81,0.209472510234156,1.101141961505368,2026-12-18,0.05
735.5999755859375,815.0,0.5561643835616439,call,24.84,0.21178826539124324,1.1079391341072529,2026-12-18,0.05
735.5999755859375,820.0,0.5561643835616439,call,23.2,0.21048606606964518,1.114736306709138,2026-12-18,0.05
735.5999755859375,825.0,0.5561643835616439,call,21.51,0.20855639372612952,1.121533479311023,2026-12-18,0.05
735.5999755859375,830.0,0.5561643835616439,call,20.5,0.20978289670157163,1.128330651912908,2026-12-18,0.05
735.5999755859375,835.0,0.5561643835616439,call,18.86,0.20737858534894027,1.1351278245147929,2026-12-18,0.05
735.5999755859375,840.0,0.5561643835616439,call,15.81,0.1966955332664154,1.1419249971166778,2026-12-18,0.05
735.5999755859375,845.0,0.5561643835616439,call,16.52,0.20652703672783526,1.1487221697185628,2026-12-18,0.05
735.5999755859375,630.0,0.8054794520547945,put,23.1,0.2924546476763915,0.8564437478375084,2027-03-19,0.05
735.5999755859375,635.0,0.8054794520547945,put,25.2,0.29666587317523696,0.8632409204393934,2027-03-19,0.05
735.5999755859375,640.0,0.8054794520547945,put,25.8,0.29250358268172416,0.8700380930412784,2027-03-19,0.05
