lambda,mu_J,rmse
0.11269669523673952,-0.3488235294117647,0.03141974326268758
0.11269669523673952,-0.3235294117647059,0.033094675126245386
0.11269669523673952,-0.29823529411764704,0.03473675438648411
0.11269669523673952,-0.27294117647058824,0.036336331387495126
0.11269669523673952,-0.24764705882352941,0.037884499913684935
0.11269669523673952,-0.2223529411764706,0.039373058725973464
0.11269669523673952,-0.1970588235294118,0.040794512153677645
0.11269669523673952,-0.17176470588235293,0.04214210106245749
0.11269669523673952,-0.14647058823529413,0.04340986045413859
0.11269669523673952,-0.12117647058823527,0.04459269272725667
0.11269669523673952,-0.09588235294117647,0.045686457274527685
0.11269669523673952,-0.07058823529411762,0.04668807204767466
0.11269669523673952,-0.04529411764705882,0.04759562044577108
0.11269669523673952,-0.02,0.04840846772320984
0.14776046176014435,-0.45,0.016301586799904934
0.14776046176014435,-0.4247058823529412,0.017775786137513207
0.14776046176014435,-0.39941176470588236,0.01944340230053243
0.14776046176014435,-0.37411764705882355,0.02123929702408116
0.14776046176014435,-0.3488235294117647,0.02311247153733198
0.14776046176014435,-0.3235294117647059,0.025023374136490147
0.14776046176014435,-0.29823529411764704,0.02694105684976053
0.14776046176014435,-0.27294117647058824,0.028840883575421628
0.14776046176014435,-0.24764705882352941,0.030702870146612184
0.14776046176014435,-0.2223529411764706,0.03251055306667494
0.14776046176014435,-0.1970588235294118,0.03425024879950928
0.14776046176014435,-0.17176470588235293,0.03591059337267118
0.14776046176014435,-0.14647058823529413,0.03748227756832202
0.14776046176014435,-0.12117647058823527,0.03895792256321678
0.14776046176014435,-0.09588235294117647,0.04033205301957664
0.14776046176014435,-0.07058823529411762,0.04160114225949429
0.14776046176014435,-0.04529411764705882,0.04276371217148591
0.14776046176014435,-0.02,0.04382046926455191
0.19373375602280654,-0.45,0.015431218464489981
0.19373375602280654,-0.4247058823529412,0.01446453583890509
0.19373375602280654,-0.39941176470588236,0.01418024023397844
0.19373375602280654,-0.37411764705882355,0.01458220122376765
0.19373375602280654,-0.3488235294117647,0.015577104995112143
0.19373375602280654,-0.3235294117647059,0.017018689338502903
0.19373375602280654,-0.29823529411764704,0.018760756159798348
0.19373375602280654,-0.27294117647058824,0.020684132681875016
0.19373375602280654,-0.24764705882352941,0.02270032282108672
0.19373375602280654,-0.2223529411764706,0.024745789092715856
0.19373375602280654,-0.1970588235294118,0.026775126163710337
0.19373375602280654,-0.17176470588235293,0.028755739552709846
0.19373375602280654,-0.14647058823529413,0.03066424673319445
0.19373375602280654,-0.12117647058823527,0.0324842061754997
0.19373375602280654,-0.09588235294117647,0.034204753321715145
0.19373375602280654,-0.07058823529411762,0.035819833163549336
0.19373375602280654,-0.04529411764705882,0.03732782709448277
0.19373375602280654,-0.02,0.03873143143031613
0.254010902345651,-0.45,0.028894245185390337
0.254010902345651,-0.4247058823529412,0.025522730100529915
0.254010902345651,-0.39941176470588236,0.022448029126177067
0.254010902345651,-0.37411764705882355,0.019774114304849637
0.254010902345651,-0.3488235294117647,0.01763599251855261
0.254010902345651,-0.3235294117647059,0.016185461570453412
0.254010902345651,-0.29823529411764704,0.01554296936163576
0.254010902345651,-0.27294117647058824,0.015728357411731068
0.254010902345651,-0.24764705882352941,0.016633674960344836
0.254010902345651,-0.2223529411764706,0.018073785827733436
0.254010902345651,-0.1970588235294118,0.019860686315159776
0.254010902345651,-0.17176470588235293,0.02184408814499193
0.254010902345651,-0.14647058823529413,0.02391740984600268
0.254010902345651,-0.12117647058823527,0.02600970988035139
0.254010902345651,-0.09588235294117647,0.028076164146875745
0.254010902345651,-0.07058823529411762,0.030090889389558347
0.254010902345651,-0.04529411764705882,0.03204227972178472
0.254010902345651,-0.02,0.03393017519020657
0.33304231454045785,-0.45,0.05079538627090827
0.33304231454045785,-0.4247058823529412,0.04597595997613776
0.33304231454045785,-0.39941176470588236,0.041340943658419387
0.33304231454045785,-0.37411764705882355,0.03693447841906284
0.33304231454045785,-0.3488235294117647,0.032813081930606766
0.33304231454045785,-0.3235294117647059,0.0290503191965611
0.33304231454045785,-0.29823529411764704,0.02574174978189322
0.33304231454045785,-0.27294117647058824,0.023006748601504288
0.33304231454045785,-0.24764705882352941,0.020979064289060753
0.33304231454045785,-0.2223529411764706,0.01977521962737033
0.33304231454045785,-0.1970588235294118,0.019442956490701074
0.33304231454045785,-0.17176470588235293,0.01992408713322508
0.33304231454045785,-0.14647058823529413,0.021071237907090576
0.33304231454045785,-0.12117647058823527,0.022705846853852966
0.33304231454045785,-0.09588235294117647,0.024669406836196017
0.33304231454045785,-0.07058823529411762,0.02684527348274182
0.33304231454045785,-0.04529411764705882,0.029159271384861678
0.33304231454045785,-0.02,0.031572499686994195
0.4366630811914216,-0.45,0.07955059260621467
0.4366630811914216,-0.4247058823529412,0.07325790386015263
0.4366630811914216,-0.39941176470588236,0.06715140151078554
